Station_ID,Date,pH,Dissolved_Oxygen,Turbidity,Nitrogen,Phosphorus,Rainfall,Land_Use,Pollution_Event,Fish_Population,Latitude,Longitude
1,2025-01-01,7.3,9.4,9.7,2.5,0.66,9.6,Urban,True,59,50.7959,47.7005
2,2025-01-02,6.5,8.5,8.2,5.4,0.28,7.5,Forest,True,162,42.2562,112.3186
3,2025-01-03,7.2,6.6,12.4,2.2,0.54,28.0,Agricultural,True,78,65.1943,3.7017
4,2025-01-04,7.7,7.4,11.5,3.1,1.32,5.8,Forest,False,157,38.9249,-150.5911
5,2025-01-05,7.9,9.2,10.5,4.8,0.86,17.3,Agricultural,False,111,69.3857,34.364
6,2025-01-06,8.3,9.9,8.7,2.6,1.19,5.3,Urban,True,161,-52.1095,87.4268
7,2025-01-07,6.6,8.9,10.1,2.9,1.4,25.5,Agricultural,True,101,0.3424,31.4667
8,2025-01-08,8.4,7.6,10.0,3.6,0.14,21.9,Agricultural,True,188,18.0854,43.9706
9,2025-01-09,7.3,8.0,4.1,2.7,0.13,13.1,Forest,True,59,77.462,-101.5293
10,2025-01-10,8.2,7.7,8.8,1.9,0.11,16.5,Agricultural,True,137,-48.7546,-2.065
11,2025-01-11,6.7,5.7,10.1,2.8,0.64,28.1,Agricultural,False,163,-73.8455,-8.228
12,2025-01-12,6.9,8.0,5.0,1.7,1.19,24.2,Agricultural,True,171,-78.4388,-49.6123
13,2025-01-13,7.2,6.7,9.7,3.9,1.42,2.4,Agricultural,True,80,73.4843,-97.7602
14,2025-01-14,7.3,6.3,5.0,2.7,0.53,2.9,Forest,False,94,37.2339,-50.9947
15,2025-01-15,7.7,5.4,9.3,5.2,0.71,2.4,Agricultural,True,52,65.2726,-3.8191
16,2025-01-16,7.8,7.4,10.0,4.3,1.43,29.4,Urban,True,171,87.2085,111.0403
17,2025-01-17,6.9,6.3,12.3,5.7,1.45,10.3,Agricultural,True,104,86.5778,-89.9109
18,2025-01-18,7.8,8.6,13.2,1.2,0.53,11.0,Urban,True,73,40.5404,-115.5968
19,2025-01-19,7.6,5.3,10.9,1.1,1.4,27.3,Agricultural,False,58,14.9716,139.9363
20,2025-01-20,8.3,9.7,12.1,4.4,0.14,19.7,Urban,True,129,0.1758,-153.738
21,2025-01-21,8.1,10.0,4.0,4.5,0.33,11.2,Forest,False,63,24.1891,56.4985
22,2025-01-22,7.7,5.8,4.3,4.7,1.42,14.4,Urban,False,109,-58.1838,-19.7431
23,2025-01-23,7.0,5.2,10.0,5.5,0.42,6.9,Agricultural,True,132,63.5218,-132.8784
24,2025-01-24,8.3,7.8,14.3,4.5,0.9,10.6,Urban,False,84,-40.5212,114.3695
25,2025-01-25,7.6,7.6,6.3,4.2,1.03,18.7,Urban,True,176,-27.3002,48.6827
26,2025-01-26,7.2,6.9,14.6,4.3,0.84,15.7,Agricultural,False,100,62.4075,42.6886
27,2025-01-27,7.1,9.5,12.6,2.7,0.54,14.8,Agricultural,True,144,-54.3343,118.7689
28,2025-01-28,8.3,7.1,4.8,5.0,0.86,4.8,Forest,False,64,-49.3561,36.6735
29,2025-01-29,7.6,9.1,7.8,1.1,0.63,2.6,Urban,True,62,-38.403,-123.3076
30,2025-01-30,7.0,7.4,8.6,3.6,0.85,19.9,Forest,True,134,25.5891,-0.3249
31,2025-01-31,8.1,9.8,10.0,1.4,0.36,21.8,Forest,True,172,46.0222,-151.6354
32,2025-02-01,8.4,9.1,7.8,3.0,0.16,5.2,Forest,False,87,-14.4891,-51.5146
33,2025-02-02,8.3,8.2,3.3,1.2,0.94,13.6,Unknown,False,180,81.6791,37.3674
34,2025-02-03,7.9,6.1,6.7,1.5,0.66,6.1,Agricultural,False,193,-17.8443,47.1553
35,2025-02-04,6.8,9.4,10.4,2.8,0.63,12.8,Agricultural,False,179,4.9861,-14.9263
36,2025-02-05,8.4,9.0,10.2,4.7,0.16,0.4,Forest,True,189,-43.7625,-111.0211
37,2025-02-06,7.0,7.5,3.3,5.9,0.37,14.5,Forest,True,172,47.95,-147.8089
38,2025-02-07,7.1,7.9,11.4,2.6,1.13,11.8,Forest,False,1750,-82.0956,71.94
39,2025-02-08,7.1,8.2,6.5,2.8,1.05,26.8,Forest,False,158,-9.6642,74.02
40,2025-02-09,7.0,9.8,12.2,5.2,0.56,29.8,Agricultural,False,51,86.7502,159.5214
41,2025-02-10,6.9,6.4,11.7,1.7,0.61,29.6,Urban,False,126,7.7776,19.1052
42,2025-02-11,7.6,8.3,5.5,5.8,0.48,2.0,Forest,False,146,60.0305,-76.2925
43,2025-02-12,8.4,6.4,4.8,4.7,0.38,19.3,Agricultural,True,106,7.3162,-145.0009
44,2025-02-13,7.6,9.1,6.9,4.7,0.99,1.7,Agricultural,True,75,10.2469,151.2481
45,2025-02-14,7.2,6.4,6.3,4.2,0.16,24.5,Agricultural,False,106,18.8056,113.7475
46,2025-02-15,6.9,9.0,14.2,3.4,0.83,3.4,Agricultural,False,115,80.6043,-3.2422
47,2025-02-16,6.6,8.0,9.7,3.1,0.53,29.8,Forest,True,94,31.6025,177.9768
48,2025-02-17,8.3,5.6,5.5,1.5,0.29,6.0,Agricultural,False,62,54.3906,-120.8536
49,2025-02-18,7.8,6.3,8.6,2.8,0.53,27.9,Forest,True,62,-28.3122,-140.6769
50,2025-02-19,7.8,6.2,5.5,5.5,1.13,8.8,Agricultural,False,53,-11.5393,-76.6553
